Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
     106.000                  107.000                              113.000
     106.000                  112.000                              113.000
     107.000                  108.000                              113.000
     110.000                  111.000                              118.000
     110.000                  116.000                              117.000
     110.000                  117.000                              118.000
     111.000                  112.000                              119.000
     111.000                  118.000                              119.000
     112.000                  113.000                              120.000
     112.000                  119.000                              120.000
     114.000                  115.000                              122.000
     114.000                  121.000                              122.000
     115.000                  116.000                              123.000
     115.000                  122.000                              123.000
     116.000                  117.000                              124.000
     116.000                  123.000                              124.000
     117.000                  118.000                              125.000
     117.000                  124.000                              125.000
     118.000                  119.000                              126.000
     118.000                  125.000                              126.000
     119.000                  120.000                              126.000
     121.000                  122.000                              128.000
     121.000                  127.000                              128.000
     122.000                  123.000                              129.000
     122.000                  128.000                              129.000
     123.000                  124.000                              130.000
     123.000                  129.000                              130.000
     124.000                  125.000                              130.000
Medium Percentile Vertices(x) Medium Percentile Vertices(y)        Medium Percentile Vertices(z)
      67.500                   67.500                               92.884
      67.500                   67.500                              112.044
      75.000                   67.500                               90.142
      75.000                   67.500                              114.474
      82.500                   67.500                               85.044
      82.500                   67.500                              112.781
      90.000                   67.500                               41.158
      90.000                   67.500                               50.666
      90.000                   67.500                               75.542
      90.000                   67.500                              111.012
      97.500                   67.500                               55.259
      97.500                   67.500                              105.848
     105.000                   67.500                               53.289
     105.000                   67.500                               97.938
     112.500                   67.500                               58.886
     112.500                   67.500                               84.365
      67.500                   75.000                               92.884
      67.500                   75.000                              112.044
      75.000                   75.000                               90.142
      75.000                   75.000                              114.474
      82.500                   75.000                               85.044
      82.500                   75.000                              112.781
      90.000                   75.000                               41.158
      90.000                   75.000                               50.666
      90.000                   75.000                               75.541
      90.000                   75.000                              111.012
      97.500                   75.000                               55.259
      97.500                   75.000                              105.848
     105.000                   75.000                               53.288
     105.000                   75.000                               97.938
     112.500                   75.000                               58.886
     112.500                   75.000                               84.365
      61.822                   67.500                               97.500
      60.565                   67.500                              105.000
      69.128                   67.500                              112.500
      75.243                   67.500                               90.000
      85.550                   67.500                               45.000
      86.054                   67.500                               82.500
      82.970                   67.500                              112.500
      95.066                   67.500                               45.000
      93.716                   67.500                               60.000
      90.186                   67.500                               67.500
      90.144                   67.500                               75.000
      98.470                   67.500                              105.000
     110.725                   67.500                               90.000
     105.396                   67.500                               97.500
     113.573                   67.500                               60.000
     114.705                   67.500                               67.500
     114.663                   67.500                               75.000
     113.628                   67.500                               82.500
      61.822                   75.000                               97.500
      60.565                   75.000                              105.000
      69.128                   75.000                              112.500
      75.243                   75.000                               90.000
      85.550                   75.000                               45.000
      86.054                   75.000                               82.500
      82.970                   75.000                              112.500
      95.066                   75.000                               45.000
      93.716                   75.000                               60.000
      90.186                   75.000                               67.500
      90.144                   75.000                               75.000
      98.470                   75.000                              105.000
     110.725                   75.000                               90.000
     105.396                   75.000                               97.500
     113.573                   75.000                               60.000
     114.705                   75.000                               67.500
     114.663                   75.000                               75.000
     113.628                   75.000                               82.500
      67.500                   63.850                               97.500
      67.500                   62.914                              105.000
      75.000                   62.116                               97.500
      75.000                   61.669                              105.000
      75.000                   65.527                              112.500
      82.500                   63.250                               90.000
      82.500                   61.266                               97.500
      82.500                   61.708                              105.000
      82.500                   67.213                              112.500
      90.000                   63.874                               45.000
      90.000                   64.286                               82.500
      90.000                   61.940                               90.000
      90.000                   60.993                               97.500
      90.000                   62.082                              105.000
      97.500                   64.404                               60.000
      97.500                   61.785                               67.500
      97.500                   61.748                               75.000
      97.500                   61.149                               82.500
      97.500                   61.502                               90.000
      97.500                   62.168                               97.500
      97.500                   66.673                              105.000
     105.000                   61.210                               60.000
     105.000                   61.455                               67.500
     105.000                   61.420                               75.000
     105.000                   61.207                               82.500
     105.000                   62.482                               90.000
     105.000                   67.118                               97.500
     112.500                   66.420                               60.000
     112.500                   65.304                               67.500
